Date,Day_of_the_week,App (Use all CAPITALS),Minutes,Category
8/30/2023,Wednesday,TIKTOK,113,Social Media
8/30/23,Wednesday,YOUTUBE,26,Entertainment
8/30/23,Wednesday,MESSAGES,18,Social Media
8/30/23,Wednesday,INSTAGRAM,16,Social Media
8/30/23,Wednesday,X,7,Social Media
8/31/23,Thursday,TIKTOK,215,Social Media
8/31/23,Thursday,INSTAGRAM,78,Social Media
8/31/23,Thursday,TWITCH,58,Entertainment
8/31/23,Thursday,YOUTUBE,35,Entertainment
8/31/23,Thursday,SPOTIFY,31,Entertainment
9/1/23,Friday,YOUTUBE,138,Entertainment
9/1/23,Friday,TIKTOK,113,Social Media
9/1/23,Friday,SAFARI,43,Other
9/1/23,Friday,SPOTIFY,10,Entertainment
9/1/23,Friday,INSTAGRAM,6,Social Media
9/2/23,Saturday,TIKTOK,213,Social Media
9/2/23,Saturday,SAFARI,72,Other
9/2/23,Saturday,YOUTUBE,54,Entertainment
9/2/23,Saturday,X,33,Social Media
9/2/23,Saturday,MESSAGES,32,Social Media
9/3/23,Sunday,TIKTOK,107,Social Media
9/3/23,Sunday,SAFARI,57,Other
9/3/23,Sunday,INSTAGRAM,38,Social Media
9/3/23,Sunday,X,20,Social Media
9/3/23,Sunday,SPOTIFY,19,Entertainment
9/4/23,Monday,TIKTOK,270,Social Media
9/4/23,Monday,SAFARI,92,Other
9/4/23,Monday,YOUTUBE,90,Entertainment
9/4/23,Monday,INSTAGRAM,23,Social Media
9/4/23,Monday,MESSAGES,14,Other
9/5/23,Tuesday,TIKTOK,188,Social Media
9/5/23,Tuesday,YOUTUBE,32,Entertainment
9/5/23,Tuesday,SPOTIFY,29,Entertainment
9/5/23,Tuesday,MESSAGES,28,Other
9/5/23,Tuesday,INSTAGRAM,20,Social Media